player,nation,pos,age,mp,starts,min,90s,gls,ast,g_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,time,data_extracao,fonte
Hugo Souza,br BRA,GK,25,22,22,1980,22.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,corinthians,2024-01-15 10:30:00,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats
André Ramalho,br BRA,DF,32,24,24,2160,24.0,1,1,2,1,0,0,6,0,0.8,0.8,0.5,1.3,8,32,6,corinthians,2024-01-15 10:30:00,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats
Cacá,br BRA,DF,24,20,20,1800,20.0,2,0,2,2,0,0,4,0,1.2,1.2,0.2,1.4,6,25,4,corinthians,2024-01-15 10:30:00,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats
Fagner,br BRA,DF,35,23,22,1980,22.0,0,3,3,0,0,0,5,0,0.4,0.4,2.8,3.2,12,38,10,corinthians,2024-01-15 10:30:00,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats
Hugo,br BRA,DF,25,18,16,1440,16.0,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.1,10,28,8,corinthians,2024-01-15 10:30:00,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats
José Martínez,ve VEN,MC,30,24,23,2070,23.0,1,3,4,1,0,0,8,0,1.2,1.2,2.5,3.7,35,62,22,corinthians,2024-01-15 10:30:00,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats
Breno Bidon,br BRA,MC,19,22,18,1620,18.0,2,4,6,2,0,0,3,0,1.8,1.8,3.2,5.0,28,48,18,corinthians,2024-01-15 10:30:00,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats
Rodrigo Garro,ar ARG,MC,26,25,24,2160,24.0,5,7,12,5,0,0,4,0,4.2,4.2,5.8,10.0,32,55,25,corinthians,2024-01-15 10:30:00,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats
Yuri Alberto,br BRA,AT,23,24,22,1980,22.0,10,3,13,10,0,0,2,0,8.5,8.5,2.2,10.7,22,32,20,corinthians,2024-01-15 10:30:00,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats
Memphis Depay,nl NED,AT,30,14,12,1080,12.0,7,4,11,7,0,0,1,0,6.2,6.2,3.5,9.7,18,25,15,corinthians,2024-01-15 10:30:00,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats
Romero,py PAR,AT,32,20,15,1350,15.0,5,2,7,5,0,0,3,0,4.8,4.8,1.5,6.3,15,22,12,corinthians,2024-01-15 10:30:00,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats
