player,position,age,nationality,market_value_eur,contract_expires,time,data_extracao,fonte
Hugo Souza,Goalkeeper,25,Brazil,3000000,2026-12-31,corinthians,2024-01-15 10:30:00,https://www.transfermarkt.com.br/sc-corinthians/kader/verein/199/saison_id/2024/plus/1
André Ramalho,Centre-Back,32,Brazil,2000000,2025-12-31,corinthians,2024-01-15 10:30:00,https://www.transfermarkt.com.br/sc-corinthians/kader/verein/199/saison_id/2024/plus/1
Cacá,Centre-Back,24,Brazil,4000000,2027-12-31,corinthians,2024-01-15 10:30:00,https://www.transfermarkt.com.br/sc-corinthians/kader/verein/199/saison_id/2024/plus/1
Fagner,Right-Back,35,Brazil,1000000,2025-12-31,corinthians,2024-01-15 10:30:00,https://www.transfermarkt.com.br/sc-corinthians/kader/verein/199/saison_id/2024/plus/1
Hugo,Left-Back,25,Brazil,3000000,2026-12-31,corinthians,2024-01-15 10:30:00,https://www.transfermarkt.com.br/sc-corinthians/kader/verein/199/saison_id/2024/plus/1
José Martínez,Defensive Midfield,30,Venezuela,2000000,2025-12-31,corinthians,2024-01-15 10:30:00,https://www.transfermarkt.com.br/sc-corinthians/kader/verein/199/saison_id/2024/plus/1
Breno Bidon,Central Midfield,19,Brazil,8000000,2028-12-31,corinthians,2024-01-15 10:30:00,https://www.transfermarkt.com.br/sc-corinthians/kader/verein/199/saison_id/2024/plus/1
Rodrigo Garro,Attacking Midfield,26,Argentina,6000000,2026-12-31,corinthians,2024-01-15 10:30:00,https://www.transfermarkt.com.br/sc-corinthians/kader/verein/199/saison_id/2024/plus/1
Yuri Alberto,Centre-Forward,23,Brazil,10000000,2027-12-31,corinthians,2024-01-15 10:30:00,https://www.transfermarkt.com.br/sc-corinthians/kader/verein/199/saison_id/2024/plus/1
Memphis Depay,Left Winger,30,Netherlands,15000000,2026-12-31,corinthians,2024-01-15 10:30:00,https://www.transfermarkt.com.br/sc-corinthians/kader/verein/199/saison_id/2024/plus/1
Romero,Centre-Forward,32,Paraguay,3000000,2025-12-31,corinthians,2024-01-15 10:30:00,https://www.transfermarkt.com.br/sc-corinthians/kader/verein/199/saison_id/2024/plus/1
