player,nation,pos,age,mp,starts,min,90s,gls,ast,g_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,time,data_extracao,fonte
Rossi,ar ARG,GK,31,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,flamengo,2024-01-15 10:30:00,https://fbref.com/en/squads/639950ae/Flamengo-Stats
Léo Pereira,br BRA,DF,28,23,23,2070,23.0,2,1,3,2,0,0,5,0,1.5,1.5,0.5,2.0,10,35,8,flamengo,2024-01-15 10:30:00,https://fbref.com/en/squads/639950ae/Flamengo-Stats
Fabrício Bruno,br BRA,DF,28,22,22,1980,22.0,1,0,1,1,0,0,4,0,1.2,1.2,0.3,1.5,8,28,5,flamengo,2024-01-15 10:30:00,https://fbref.com/en/squads/639950ae/Flamengo-Stats
Wesley,br BRA,DF,21,20,18,1620,18.0,0,2,2,0,0,0,3,0,0.3,0.3,1.8,2.1,15,42,12,flamengo,2024-01-15 10:30:00,https://fbref.com/en/squads/639950ae/Flamengo-Stats
Alex Sandro,br BRA,DF,33,18,16,1440,16.0,1,3,4,1,0,0,2,0,0.8,0.8,2.5,3.3,18,38,15,flamengo,2024-01-15 10:30:00,https://fbref.com/en/squads/639950ae/Flamengo-Stats
Erick Pulgar,cl CHI,MC,30,25,24,2160,24.0,2,4,6,2,0,0,6,0,1.8,1.8,3.2,5.0,42,78,28,flamengo,2024-01-15 10:30:00,https://fbref.com/en/squads/639950ae/Flamengo-Stats
Gerson,br BRA,MC,27,24,23,2070,23.0,4,5,9,4,0,0,4,0,3.5,3.5,4.8,8.3,38,65,32,flamengo,2024-01-15 10:30:00,https://fbref.com/en/squads/639950ae/Flamengo-Stats
Arrascaeta,uy URU,MC,30,22,20,1800,20.0,6,8,14,6,0,0,2,0,5.2,5.2,6.5,11.7,35,58,28,flamengo,2024-01-15 10:30:00,https://fbref.com/en/squads/639950ae/Flamengo-Stats
Bruno Henrique,br BRA,AT,33,20,18,1620,18.0,8,3,11,8,0,0,3,0,6.8,6.8,2.2,9.0,25,35,22,flamengo,2024-01-15 10:30:00,https://fbref.com/en/squads/639950ae/Flamengo-Stats
Gabigol,br BRA,AT,28,22,19,1710,19.0,11,2,13,11,0,0,2,0,9.5,9.5,1.8,11.3,20,28,18,flamengo,2024-01-15 10:30:00,https://fbref.com/en/squads/639950ae/Flamengo-Stats
Pedro,br BRA,AT,27,15,14,1260,14.0,9,1,10,9,0,0,1,0,8.2,8.2,0.8,9.0,15,22,12,flamengo,2024-01-15 10:30:00,https://fbref.com/en/squads/639950ae/Flamengo-Stats
