player,position,age,nationality,market_value_eur,contract_expires,time,data_extracao,fonte
Rossi,Goalkeeper,31,Argentina,4000000,2026-12-31,flamengo,2024-01-15 10:30:00,https://www.transfermarkt.com.br/cr-flamengo/kader/verein/614/saison_id/2024/plus/1
Léo Pereira,Centre-Back,28,Brazil,6000000,2025-12-31,flamengo,2024-01-15 10:30:00,https://www.transfermarkt.com.br/cr-flamengo/kader/verein/614/saison_id/2024/plus/1
Fabrício Bruno,Centre-Back,28,Brazil,8000000,2026-12-31,flamengo,2024-01-15 10:30:00,https://www.transfermarkt.com.br/cr-flamengo/kader/verein/614/saison_id/2024/plus/1
Wesley,Right-Back,21,Brazil,12000000,2028-12-31,flamengo,2024-01-15 10:30:00,https://www.transfermarkt.com.br/cr-flamengo/kader/verein/614/saison_id/2024/plus/1
Alex Sandro,Left-Back,33,Brazil,3000000,2025-12-31,flamengo,2024-01-15 10:30:00,https://www.transfermarkt.com.br/cr-flamengo/kader/verein/614/saison_id/2024/plus/1
Erick Pulgar,Defensive Midfield,30,Chile,5000000,2026-12-31,flamengo,2024-01-15 10:30:00,https://www.transfermarkt.com.br/cr-flamengo/kader/verein/614/saison_id/2024/plus/1
Gerson,Central Midfield,27,Brazil,18000000,2027-12-31,flamengo,2024-01-15 10:30:00,https://www.transfermarkt.com.br/cr-flamengo/kader/verein/614/saison_id/2024/plus/1
Arrascaeta,Attacking Midfield,30,Uruguay,15000000,2026-12-31,flamengo,2024-01-15 10:30:00,https://www.transfermarkt.com.br/cr-flamengo/kader/verein/614/saison_id/2024/plus/1
Bruno Henrique,Left Winger,33,Brazil,4000000,2025-12-31,flamengo,2024-01-15 10:30:00,https://www.transfermarkt.com.br/cr-flamengo/kader/verein/614/saison_id/2024/plus/1
Gabigol,Centre-Forward,28,Brazil,12000000,2024-12-31,flamengo,2024-01-15 10:30:00,https://www.transfermarkt.com.br/cr-flamengo/kader/verein/614/saison_id/2024/plus/1
Pedro,Centre-Forward,27,Brazil,20000000,2027-12-31,flamengo,2024-01-15 10:30:00,https://www.transfermarkt.com.br/cr-flamengo/kader/verein/614/saison_id/2024/plus/1
